NAICS,Industry,Total,0-4,5-9,10-19,20-49,50-99,100-249,250-499,500-999
,Total All Industries,"18,154,505","1,677,721","1,181,184","1,773,278","2,866,052","2,382,841","2,728,604","1,523,428","1,155,619"
,,,,,,,,,,
11,"Agriculture, Forestry, Fishing and Hunting","463,539","13,460","16,704","27,169","53,368","50,530","85,525","76,108","52,459"
111,Crop Production,"171,863","7,826","9,533","14,264","23,720","19,807","31,815","23,660","15,559"
112,Animal Production and Aquaculture,"27,213","2,242","2,494","4,469","9,117",(2),(2),"1,402",0
113,Forestry and Logging,"2,711",235,465,544,820,(2),(1),0,0
114,"Fishing, Hunting and Trapping",430,195,148,87,0,0,0,0,0
115,Support Activities for Agriculture and Forestry,"261,322","2,962","4,064","7,805","19,711","25,746","50,551","51,046","36,900"
,,,,,,,,,,
21,"Mining, Quarrying, and Oil and Gas Extraction","16,488",556,794,"1,614","3,287","2,772","3,212","1,870","2,383"
211,Oil and Gas Extraction,"3,162",102,117,180,425,446,(2),(1),(1)
212,Mining (except Oil and Gas),"6,160",177,358,643,"1,277","1,051",(2),(1),(1)
213,Support Activities for Mining,"7,166",277,319,791,"1,585","1,275","1,344",(2),(1)
,,,,,,,,,,
22,Utilities,"67,126","1,620","1,823","3,005","5,297","6,195","11,733","6,228",(2)
,,,,,,,,,,
23,Construction,"926,472","93,195","99,678","125,937","182,215","138,221","148,076","66,750","46,555"
236,Construction of Buildings,"213,759","33,516","30,839","34,233","42,889","28,223","24,721","11,688",(2)
237,Heavy and Civil Engineering Construction,"98,350","2,532","4,039","7,433","16,320","18,234","25,165","15,155",(2)
238,Specialty Trade Contractors,"614,363","57,147","64,800","84,271","123,006","91,764","98,190","39,907","33,556"
,,,,,,,,,,
31 - 33,Manufacturing,"1,252,346","33,920","49,897","86,540","174,464","167,908","256,797","164,727",(2)
311,Food Manufacturing,"173,944","3,435","5,455","11,074","22,594","18,926","40,141","30,782","26,834"
312,Beverage and Tobacco Product Manufacturing,"68,809","2,311","4,115","7,469","13,436","12,154","12,299","8,843","2,940"
313,Textile Mills,"4,541",234,238,539,949,712,(2),(1),(1)
314,Textile Product Mills,"6,987",509,799,"1,063","1,768",910,930,"1,008",0
315,Apparel Manufacturing,"24,531","1,560","1,865","2,988","4,867","4,146","5,037",(2),(1)
316,Leather and Allied Product Manufacturing,"2,676",184,173,248,398,277,(1),(1),(1)
321,Wood Product Manufacturing,"25,041",837,"1,202","2,446","4,924","3,864","8,302",(2),(1)
322,Paper Manufacturing,"19,734",235,421,869,"2,398","4,006","10,060","1,745",0
323,Printing and Related Support Activities,"29,827","3,179","3,567","3,935","6,796","5,604","4,710",(2),(1)
324,Petroleum and Coal Products Manufacturing,"11,004",134,230,409,760,"1,014","1,461","3,115",(2)
325,Chemical Manufacturing,"77,429","1,718","2,670","4,956","10,853","11,684","13,835","12,549",(2)
326,Plastics and Rubber Products Manufacturing,"40,895",711,"1,303","3,007","7,159","8,393","12,211","5,271",(2)
327,Nonmetallic Mineral Product Manufacturing,"31,262",801,"1,572","3,114","7,088","6,482","6,539",(2),(1)
331,Primary Metal Manufacturing,"13,635",354,416,887,"2,287","1,984","5,406",(2),(1)
332,Fabricated Metal Product Manufacturing,"118,645","4,782","8,193","14,668","27,238","21,966","24,730","13,854","3,214"
333,Machinery Manufacturing,"72,202","2,261","3,552","6,351","11,946","11,573","12,113","8,465","3,953"
334,Computer and Electronic Product Manufacturing,"230,369","3,010","3,998","7,300","18,645","23,766","46,537","28,811","26,292"
335,"Electrical Equipment, Appliance, and Component Manufacturing","31,755",852,"1,242","2,318","5,559","5,463","8,202",(2),(1)
336,Transportation Equipment Manufacturing,"155,954","1,296","2,048","3,710","8,200","11,588","22,377","18,488","18,685"
337,Furniture and Related Product Manufacturing,"26,893","1,804","2,473","3,321","5,823","3,673","6,467",(2),(1)
339,Miscellaneous Manufacturing,"86,213","3,713","4,365","5,868","10,776","9,723","14,022","10,957","10,938"
,,,,,,,,,,
42,Wholesale Trade,"657,216","60,840","65,856","90,284","137,136","102,584","94,507","53,974","32,797"
423,"Merchant Wholesalers, Durable Goods","346,020","29,986","36,031","52,306","76,205","55,891","46,555","22,342","14,082"
424,"Merchant Wholesalers, Nondurable Goods","274,253","22,164","23,762","31,404","52,757","42,966","45,633","30,236","18,715"
425,Wholesale Trade Agents and Brokers,"36,943","8,690","6,063","6,574","8,174","3,727","2,319","1,396",0
,,,,,,,,,,
44 - 45,Retail Trade,"1,574,732","92,906","148,349","227,301","271,266","295,412","349,803","148,475","24,348"
