Original_Classification_NAICS,Matched_Stats_NAICS,NAICS Description,Industry,Business Type,ChatGPT_Regulation_Type,Claude_Regulation_Type,Gemini_Regulation_Type,Grok_Regulation_Type,Total,0-4,5-9,10-19,20-49,50-99,100-249,250-499,500-999
221100,22,,Utilities,"Grok: ""Utility Providers (e.g., PG&E)""",,,,Deployer rules,"67,126","1,620","1,823","3,005","5,297","6,195","11,733","6,228",(2)
221118,22,Other Electric Power Generation,Utilities,"ChatGPT: ""Energy utilities using AI for subsidy/disconnection""",Deployer,,,,"67,126","1,620","1,823","3,005","5,297","6,195","11,733","6,228",(2)
221122,22,Electric Power Distribution,Utilities,"Claude: ""Electric utilities""",,Deployer,,,"67,126","1,620","1,823","3,005","5,297","6,195","11,733","6,228",(2)
221210,22,Natural Gas Distribution,Utilities,"ChatGPT: ""Energy utilities using AI for subsidy/disconnection""",Deployer,,,,"67,126","1,620","1,823","3,005","5,297","6,195","11,733","6,228",(2)
221310,22,Water Supply,Utilities,"ChatGPT: ""Energy utilities using AI for subsidy/disconnection"" Claude: ""Water utilities""",Deployer,Deployer,,,"67,126","1,620","1,823","3,005","5,297","6,195","11,733","6,228",(2)
221320,22,,Utilities,"Grok: ""Water and Waste Management Firms (e.g., Veolia or Waste Management)""",,,,Deployer rules,"67,126","1,620","1,823","3,005","5,297","6,195","11,733","6,228",(2)
31-33,31 - 33,Manufacturing,Manufacturing,"Gemini: ""Large Corporations (as employers)""",,,Deployer,,"1,252,346","33,920","49,897","86,540","174,464","167,908","256,797","164,727",(2)
325412,325,Pharmaceutical Preparation Manufacturing,Chemical Manufacturing,"Claude: ""Pharmaceutical companies using AI""",,Deployer,,,"77,429","1,718","2,670","4,956","10,853","11,684","13,835","12,549",(2)
334519,334,,Computer and Electronic Product Manufacturing,"Grok: ""Election Tech Providers (e.g., Dominion Voting Systems)""",,,,Developer rules,"230,369","3,010","3,998","7,300","18,645","23,766","46,537","28,811","26,292"
334118,334,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Computer and Electronic Product Manufacturing,"Claude: ""Voting system manufacturers""",,Developer,,,"230,369","3,010","3,998","7,300","18,645","23,766","46,537","28,811","26,292"
