NAICS,Business Type,ChatGPT Regulation Type,Claude Regulation Type,Grok Regulation Type,Gemini Regulation Type
221100,"Grok: ""Utility Providers (e.g., PG&E)""",,,Deployer rules,
221118,"ChatGPT: ""Energy utilities using AI for subsidy/disconnection""",Deployer,,,
221122,"Claude: ""Electric utilities""",,Deployer,,
221210,"ChatGPT: ""Energy utilities using AI for subsidy/disconnection""",Deployer,,,
221310,"ChatGPT: ""Energy utilities using AI for subsidy/disconnection"" ; Claude: ""Water utilities""",Deployer,Deployer,,
221320,"Grok: ""Water and Waste Management Firms (e.g., Veolia or Waste Management)""",,,Deployer rules,
31-33,"Gemini: ""Large Corporations (as employers)""",,,,Deployer
325412,"Claude: ""Pharmaceutical companies using AI""",,Deployer,,
334118,"Claude: ""Voting system manufacturers""",,Developer,,
334519,"Grok: ""Election Tech Providers (e.g., Dominion Voting Systems)""",,,Developer rules,
44-45,"Gemini: ""Large Corporations (as employers)""",,,,Deployer
452111,"Claude: ""Retail stores using AI""",,Deployer,,
454110,"Grok: ""E-commerce Platforms (e.g., Amazon)""",,,Both,
485111,"Claude: ""Public transit agencies""",,Deployer,,
485310,"ChatGPT: ""Transit agencies and rideshare platforms (Uber, Lyft)"" ; Grok: ""Public Accommodation Apps (e.g., Uber or Lyft for transportation)""",Both,,Both,
485999,"ChatGPT: ""Transit agencies and rideshare platforms (Uber, Lyft)"" ; Claude: ""Gig economy platforms (Uber, DoorDash)""",Both,Both,,
485999,"ChatGPT: ""Transit agencies and rideshare platforms (Uber, Lyft)"" ; Claude: ""Ride-sharing companies""",Both,Both,,
488999,"Gemini: ""Ride-Sharing & Delivery Platforms""",,,,Both
492110,"Claude: ""Delivery companies""",,Both,,
511210,"ChatGPT: ""HR tech vendors (AI hiring, scheduling software)""",Developer,,,
511210,"ChatGPT: ""Workforce management software firms (Workday, ADP)""",Both,,,
511210,"ChatGPT: ""EdTech companies (AI grading, proctoring, plagiarism detection)""",Developer,,,
511210,"ChatGPT: ""PropTech companies (tenant risk scoring, appraisals)""",Developer,,,
511210,"ChatGPT: ""Smart-grid/energy management software firms""",Developer,,,
511210,"ChatGPT: ""EHR vendors (Epic, Cerner with AI modules)""",Both,,,
511210,"ChatGPT: ""AI fraud detection vendors in telecom""",Developer,,,
