Business Type,NAICS Code,NAICS Description,ChatGPT Regulation Type,Claude Regulation Type,Gemini Regulation Type,Grok Regulation Type
"Grok: ""Utility Providers (e.g., PG&E)""",221100,,,,,Deployer rules
"ChatGPT: ""Energy utilities using AI for subsidy/disconnection""",221118,Other Electric Power Generation,Deployer,,,
"Claude: ""Electric utilities""",221122,Electric Power Distribution,,Deployer,,
"ChatGPT: ""Energy utilities using AI for subsidy/disconnection""",221210,Natural Gas Distribution,Deployer,,,
"ChatGPT: ""Energy utilities using AI for subsidy/disconnection"" Claude: ""Water utilities""",221310,Water Supply,Deployer,Deployer,,
"Grok: ""Water and Waste Management Firms (e.g., Veolia or Waste Management)""",221320,,,,,Deployer rules
"Gemini: ""Large Corporations (as employers)""",31-33,Manufacturing,,,Deployer,
"Claude: ""Pharmaceutical companies using AI""",325412,Pharmaceutical Preparation Manufacturing,,Deployer,,
"Claude: ""Voting system manufacturers""",334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,,Developer,,
"Grok: ""Election Tech Providers (e.g., Dominion Voting Systems)""",334519,,,,,Developer rules
"Gemini: ""Large Corporations (as employers)""",44-45,Retail,,,Deployer,
"Claude: ""Retail stores using AI""",452111,Department Stores,,Deployer,,
"Grok: ""E-commerce Platforms (e.g., Amazon)""",454110,,,,,Both
"Claude: ""Public transit agencies""",485111,Mixed Mode Transit Systems,,Deployer,,
"ChatGPT: ""Transit agencies and rideshare platforms (Uber, Lyft)"" Grok: ""Public Accommodation Apps (e.g., Uber or Lyft for transportation)""",485310,Taxi and Ridesharing Services,Both,,,Both
"ChatGPT: ""Transit agencies and rideshare platforms (Uber, Lyft)"" Claude: ""Gig economy platforms (Uber, DoorDash) | Ride-sharing companies""",485999,All Other Transit & Ground Passenger Transportation,Both,Both | Both,,
"Gemini: ""Ride-Sharing & Delivery Platforms""",488999,All Other Support Activities for Transportation,,,Both,
"Claude: ""Delivery companies""",492110,Couriers and Express Delivery Services,,Both,,
"ChatGPT: ""HR tech vendors (AI hiring, scheduling software) | Workforce management software firms (Workday, ADP) | EdTech companies (AI grading, proctoring, plagiarism detection) | PropTech companies (tenant risk scoring, appraisals) | Smart-grid/energy management software firms | EHR vendors (Epic, Cerner with AI modules) | Credit/loan underwriting software providers | AI legal research/chatbot companies (Casetext, Harvey) | Voter eligibility / redistricting software vendors | InsurTech developers (Lemonade, Tractable) | AI fraud detection vendors in telecom""",511210,Software Publishers,Developer | Both | Developer | Developer | Developer | Both | Developer | Developer | Developer | Both | Developer,,,
"Gemini: ""HR Technology Companies | Health Technology Companies | Real Estate Technology Companies | Educational Technology (EdTech)"" Grok: ""HR Software Providers (e.g., Workday or BambooHR) | University Admissions Software Vendors (e.g., Slate) | Productivity Software Firms (e.g., Microsoft for workplace tools)""",513210,Software Publishers,,,Developer | Developer | Developer | Developer,Both | Both | Developer rules
"Gemini: ""Telecom & Internet Providers""",5171,Telecommunications,,,Both,
"Claude: ""Telecommunications companies""",517110,Wired Telecommunications Carriers,,Deployer,,
"ChatGPT: ""Broadband/telecom providers using AI for service eligibility""",517112,Wireless Telecommunications Carriers (except Satellite),Deployer,,,
"ChatGPT: ""Broadband/telecom providers using AI for service eligibility""",517121,Telecommunications Resellers,Deployer,,,
"Claude: ""Internet service providers"" Grok: ""Telecom Providers (e.g., Verizon or AT&T)""",517311,Wired Telecommunications Carriers,,Deployer,,Deployer rules
"ChatGPT: ""Platforms designing & deploying subsidy verification systems""",517810,All Other Telecommunications,Both,,,
"Claude: ""Social media platforms""",518210,"Data Processing, Hosting, and Related Services",,Both,,
"Gemini: ""Social Media & Search Engines | Short-Term Rental Platforms""",519290,Web Search Portals and All Other Information Services,,,Both | Both,
"ChatGPT: ""Banks & lenders using AI underwriting"" Claude: ""Banks using AI"" Gemini: ""Banks & Credit Unions"" Grok: ""Banks and Lenders (e.g., Wells Fargo or LendingClub)""",522110,Commercial Banking,Deployer,Deployer,Both,Both
"Claude: ""Credit unions using AI"" Gemini: ""Banks & Credit Unions""",522130,Credit Unions,,Deployer,Both,
"Claude: ""Lending platforms""",522220,Sales Financing,,Both,,
"Gemini: ""Financial Technology (Fintech)""",522290,Other Nondepository Credit Intermediation,,,Both,
"ChatGPT: ""Banks & lenders using AI underwriting"" Grok: ""FinTech Startups (e.g., Affirm or SoFi)""",522291,Consumer Lending,Deployer,,,Both
"ChatGPT: ""Banks & lenders using AI underwriting"" Claude: ""Mortgage lenders | Mortgage companies""",522292,Real Estate Credit,Deployer,Deployer | Deployer,,
"ChatGPT: ""FinTech firms (Upstart, SoFi, LendingClub)""",522298,All Other Nondepository Credit Intermediation,Both,,,
"Grok: ""Mortgage Brokers (e.g., Rocket Mortgage)""",522310,,,,,Deployer rules
"Claude: ""Payment processors with fraud detection""",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",,Developer,,
"Claude: ""Robo-advisors""",523930,Investment Advice,,Both,,
"Gemini: ""Insurance Carriers""",5241,Insurance Carriers,,,Both,
"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" Claude: ""Life insurance companies""",524113,Direct Life Insurance Carriers,Deployer,Deployer,,
"ChatGPT: ""Hospitals & insurers using AI for coverage decisions | Insurance carriers using AI underwriting/claims denial"" Claude: ""Health insurance companies"" Gemini: ""Health Insurance Carriers"" Grok: ""Health Insurance Companies (e.g., Anthem or Kaiser Permanente)""",524114,Direct Health & Medical Insurance Carriers,Deployer | Deployer,Deployer,Both,Both
"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" Claude: ""Insurance companies using AI | Auto insurance companies | Property insurance companies"" Grok: ""Insurance Companies (e.g., Allstate or Geico)""",524126,Direct Property & Casualty Insurance Carriers,Deployer,Deployer | Deployer | Deployer,,Both
"Claude: ""Insurance comparison platforms""",524210,Insurance Agencies and Brokerages,,Both,,
"ChatGPT: ""InsurTech developers (Lemonade, Tractable)""",524298,All Other Insurance Related Activities,Both,,,
"Claude: ""Real estate companies"" Grok: ""Real Estate Platforms (e.g., Zillow or Redfin)""",531210,Offices of Real Estate Agents and Brokers,,Deployer,,Both
"ChatGPT: ""Landlords & property managers using tenant AI screening"" Claude: ""Property management companies"" Gemini: ""Property Management Companies"" Grok: ""Property Management Companies (e.g., Greystar or Equity Residential)""",531311,Residential Property Managers,Deployer,Deployer,Deployer,Both
"ChatGPT: ""PropTech companies (tenant risk scoring, appraisals)""",531390,Other Activities Related to Real Estate,Developer,,,
"ChatGPT: ""Law firms/arbitration platforms using AI"" Claude: ""Law firms using AI | Arbitration organizations | Mediation services""",541110,Offices of Lawyers,Deployer,Deployer | Deployer | Deployer,,
"ChatGPT: ""AI legal research/chatbot companies (Casetext, Harvey) | Law firms/arbitration platforms using AI | Online mediation services with AI integration"" Grok: ""Legal Tech Companies (e.g., LegalZoom or Clio) | Mediation and Arbitration Services (e.g., JAMS or AAA)""",541199,All Other Legal Services,Developer | Deployer | Both,,,Both | Both
