name,persona,first_year_hours,ongoing_annual_hours
Develop Compliance Plan,Compliance Officer - Large Tech,150,30
Employee Training,Small Business Owner,20,10
Gap Analysis,Compliance Officer - Large Tech,100,20
Identifying AI Models in Use,Small Business Owner,30,5
Implement Compliance Plan,Compliance Officer - Large Tech,200,60
Implementing Transparency Requirements,Small Business Owner,50,20
Monitoring and Reporting,Compliance Officer - Large Tech,30,40
Training and Education,Compliance Officer - Large Tech,80,40
Understanding the Regulation,Compliance Officer - Large Tech,40,10
Understanding the Regulation,Small Business Owner,20,5
