name,persona,first_year_hours,ongoing_annual_hours
AI Audit,E-commerce Platform Manager,200,100
AI Model Assessment,Real Estate Developer,40,15
Annual Review and Update,EdTech Startup Founder,20,5
Audit Current AI Models,Pharmaceutical Research Director,100,20
Audit and Compliance Reporting,Manufacturing Plant Manager,100,20
Audit and Reporting,Financial Services Compliance Manager,150,60
Compliance Implementation,Real Estate Developer,30,10
Compliance Monitoring,EdTech Startup Founder,40,15
Develop Compliance Plan,Compliance Officer - Large Tech,100,30
Develop Compliance Plan,E-commerce Platform Manager,200,50
Develop Compliance Plan,Financial Services Compliance Manager,200,50
Develop Compliance Plan,Pharmaceutical Research Director,100,20
Develop Transparency Requirements,Manufacturing Plant Manager,150,30
Developing AI Safety and Security Protocol,Government Agency Director,200,50
Developing AI Transparency Protocol,EdTech Startup Founder,60,20
Developing Compliance Plan,Nonprofit Director,50,15
Developing Transparency Requirements,Healthcare Administrator,100,30
Employee Training,EdTech Startup Founder,40,15
Employee Training,Healthcare Administrator,120,30
Employee Training,Hospitality Chain Owner,50,10
Employee Training,Small Business Owner,10,15
Gap Analysis,Compliance Officer - Large Tech,100,30
Identify AI Models in Use,Hospitality Chain Owner,30,10
Identify AI Models in Use,Manufacturing Plant Manager,100,20
Identify Affected Systems,Financial Services Compliance Manager,100,20
Identifying AI Models,Healthcare Administrator,80,20
Identifying AI Models in Use,Nonprofit Director,30,10
Identifying AI Models in Use,Small Business Owner,30,10
Implement Compliance Plan,Compliance Officer - Large Tech,80,30
Implement Compliance Plan,E-commerce Platform Manager,100,30
Implement Compliance Plan,Financial Services Compliance Manager,300,60
Implement Compliance Plan,Pharmaceutical Research Director,100,30
Implement Employee Protections,Manufacturing Plant Manager,100,20
Implement Transparency Requirements,Hospitality Chain Owner,60,20
Implementing Compliance Plan,Nonprofit Director,20,10
Implementing Transparency Requirements,Small Business Owner,40,20
Legal Consultation,Real Estate Developer,30,10
Monitor and Review Compliance,Compliance Officer - Large Tech,20,10
Monitoring Compliance,Government Agency Director,200,40
Monitoring Compliance,Healthcare Administrator,50,10
Ongoing Compliance Monitoring,E-commerce Platform Manager,20,10
Ongoing Compliance Monitoring,Pharmaceutical Research Director,50,20
Regular Compliance Audits,Hospitality Chain Owner,20,10
Regulation Analysis,Compliance Officer - Large Tech,80,20
Training Employees,Government Agency Director,300,100
Understanding the RAISE Act,E-commerce Platform Manager,40,10
Understanding the RAISE Act,EdTech Startup Founder,20,5
Understanding the RAISE Act,Hospitality Chain Owner,40,10
Understanding the Regulation,Financial Services Compliance Manager,50,10
Understanding the Regulation,Government Agency Director,50,10
Understanding the Regulation,Healthcare Administrator,50,10
Understanding the Regulation,Manufacturing Plant Manager,50,10
Understanding the Regulation,Nonprofit Director,20,5
Understanding the Regulation,Pharmaceutical Research Director,50,10
Understanding the Regulation,Real Estate Developer,20,5
Understanding the Regulation,Small Business Owner,20,5
